SDN,IoT,Machine Learning,Capability,Filter,Cloud,Wireless,Traceback,Web
0,0,0,1,15,1,0,1,4
0,1,0,1,4,0,0,2,7
0,0,1,0,3,0,7,4,6
0,0,5,1,16,0,13,14,6
0,0,6,1,15,0,24,10,3
0,0,3,0,12,0,19,13,5
2,1,7,0,16,0,30,8,15
0,0,13,1,11,0,25,11,2
0,0,10,3,15,2,26,7,12
0,0,5,4,13,1,37,6,6
0,0,17,1,9,8,47,5,11
0,2,13,2,15,4,41,10,17
0,2,18,3,6,19,37,14,13
2,3,11,3,10,35,33,12,21
7,1,28,2,13,57,58,9,12
24,7,21,0,8,66,49,9,12
39,13,28,0,14,78,38,10,22
64,25,46,2,8,65,30,3,14
70,38,87,1,10,42,27,1,7
104,52,126,0,10,49,21,4,6
71,61,155,0,15,46,27,2,11
91,65,256,1,7,39,23,3,6
73,69,289,0,10,39,17,1,7
