year,word,count
2020,service,229
2020,detection,122
2020,distributed,110
2020,network,99
2020,system,83
2020,control,53
2020,using,52
2020,learning,36
2020,analysis,30
2020,approach,29
2020,mitigation,28
2020,cloud,27
2020,software,26
2020,defined,25
2020,machine,24
2020,iot,22
2020,event,21
2020,sdn,21
2020,technique,21
2020,cyber,20
2020,resilient,20
2020,environment,19
2020,physical,19
2020,triggered,19
2020,data,18
2020,method,18
2020,algorithm,16
2020,deep,16
2020,defense,16
2020,time,16
2020,wireless,16
2020,internet,15
2020,model,15
2020,networked,15
2020,security,15
2020,computing,14
2020,mechanism,14
2020,multi,14
2020,rate,14
2020,prevention,13
2020,feature,12
2020,framework,12
2020,low,12
2020,mitigating,12
2020,layer,11
2020,survey,11
2020,thing,11
2020,power,10
2020,protocol,10
2020,real,10
2020,review,10
2020,subject,10
2020,towards,10
2020,application,9
2020,server,9
2020,agent,8
2020,blockchain,8
2020,communication,8
2020,consensus,8
2020,detecting,8
2020,intrusion,8
2020,neural,8
2020,novel,8
2020,optimal,8
2020,selection,8
2020,serangan,8
2020,slow,8
2020,traffic,8
2020,classification,7
2020,controller,7
2020,design,7
2020,device,7
2020,dynamic,7
2020,evaluation,7
2020,flood,7
2020,http,7
2020,information,7
2020,ipv6,7
2020,networking,7
2020,performance,7
2020,robust,7
2020,scheme,7
2020,secure,7
2020,sensor,7
2020,smart,7
2020,study,7
2020,tcp,7
2020,vulnerability,7
2020,&,6
2020,comparative,6
2020,defence,6
2020,detect,6
2020,effective,6
2020,filter,6
2020,fuzzy,6
2020,k,6
2020,load,6
2020,menggunakan,6
2020,nonlinear,6
2020,state,6
2020,',5
2020,adaptive,5
2020,computer,5
2020,ensemble,5
2020,entropy,5
2020,filtering,5
2020,fog,5
2020,frequency,5
2020,game,5
2020,hybrid,5
2020,impact,5
2020,intelligent,5
2020,manet,5
2020,new,5
2020,optimization,5
2020,protection,5
2020,resource,5
2020,stability,5
2020,stochastic,5
2020,web,5
2020,anomaly,4
2020,architecture,4
2020,artificial,4
2020,bayesian,4
2020,class,4
2020,cluster,4
2020,collaborative,4
2020,comparison,4
2020,cost,4
2020,decision,4
2020,digital,4
2020,efficient,4
2020,energy,4
2020,estimation,4
2020,fault,4
2020,industrial,4
2020,ip,4
2020,jamming,4
2020,linear,4
2020,mqtt,4
2020,multiple,4
2020,overview,4
2020,packet,4
2020,prediction,4
2020,random,4
2020,research,4
2020,signaling,4
2020,solution,4
